created_at,entry_id,Temperature (C),Turbidity(NTU),Dissolved Oxygen(g/ml),PH,Ammonia(g/ml),Nitrate(g/ml),Population,Fish_Length(cm),Fish_Weight(g)
2021-06-25 15:14:07 CET,1,27.0625,100,22.562,8.20213,12151.86328,1061,50,14.12,33.8
2021-06-25 15:14:26 CET,2,27.125,100,20.493,8.19759,15100.59473,1050,50,14.12,33.8
2021-06-25 15:15:42 CET,3,27.125,100,12.555,8.20213,42010.77344,1039,50,14.12,33.8
2021-06-25 15:16:01 CET,4,27.0625,100,17.403,8.19759,21075.64453,1037,50,14.12,33.8
2021-06-25 15:16:21 CET,5,27.125,100,22.765,8.21121,62079.92578,1039,50,14.12,33.8
2021-06-25 15:16:40 CET,6,27.125,100,19.646,8.19759,10693.24414,1038,50,14.12,33.8
2021-06-25 15:17:00 CET,7,27.0625,100,31.521,8.19759,32495.45117,1039,50,14.12,33.8
2021-06-25 15:17:19 CET,8,27.125,100,31.369,8.19305,34473.55469,1039,50,14.12,33.8
2021-06-25 15:17:39 CET,9,27.0625,100,16.079,8.20213,34473.55469,1038,50,14.12,33.8
2021-06-25 15:18:35 CET,10,27.0625,100,25.927,8.20213,111202.3906,1036,50,14.12,33.8
2021-06-25 15:19:31 CET,11,27.125,100,33.475,8.20213,305587.2188,1021,50,14.12,33.8
2021-06-25 15:21:05 CET,12,27.125,100,16.252,8.18851,2040141.75,1018,50,14.12,33.8
2021-06-25 15:25:08 CET,13,27.125,100,21.832,8.21575,1092618.25,1038,50,14.12,33.8
2021-06-25 15:26:05 CET,14,27.125,100,24.936,8.21121,10647393,1022,50,14.12,33.8
2021-06-25 15:27:02 CET,15,27.125,100,19.415,8.20667,172879088,1011,50,14.12,33.8
2021-06-25 15:27:21 CET,16,27.1875,100,16.621,8.21121,2210719.75,1009,50,14.12,33.8
2021-06-25 15:28:54 CET,17,27.125,100,16.839,8.19759,6752530.5,1012,50,14.12,33.8
2021-06-25 15:29:50 CET,18,27.1875,100,15.796,8.22029,136042256,996,50,14.12,33.8
2021-06-25 15:31:43 CET,19,27.1875,100,0,8.20667,4713923,1019,50,14.12,33.8
2021-06-25 17:28:46 CET,20,27.25,100,7.402,8.13858,1.06427,2165,50,14.12,33.8
2021-06-25 17:29:06 CET,21,27.25,100,3.292,8.14312,4.0295,1456,50,14.12,33.8
2021-06-25 17:29:26 CET,22,27.25,100,0,8.14312,12.94358,1250,50,14.12,33.8
2021-06-25 17:30:22 CET,23,27.1875,100,33.388,8.13858,177.86523,1119,50,14.12,33.8
2021-06-25 17:31:19 CET,24,27.1875,100,9.501,8.15674,1986.16162,1073,50,14.12,33.8
2021-06-25 17:31:38 CET,25,27.1875,100,11.665,8.14312,2925.95142,1072,50,14.12,33.8
2021-06-25 17:31:58 CET,26,27.25,100,2.843,8.14312,7125.13281,1059,50,14.12,33.8
2021-06-25 17:32:17 CET,27,27.25,100,10.413,8.15674,11595.01172,1053,50,14.12,33.8
2021-06-25 17:33:14 CET,28,27.25,100,11.498,8.15674,199741.1563,1041,50,14.12,33.8
2021-06-25 17:33:33 CET,29,27.25,100,4.103,8.14312,104917.8594,1040,50,14.12,33.8
2021-06-25 17:34:29 CET,30,27.1875,100,22.512,8.13858,464484.875,1030,50,14.12,33.8
2021-06-25 17:34:49 CET,31,27.1875,100,14.776,8.14312,10028308,1023,50,14.12,33.8
2021-06-25 17:36:41 CET,32,27.25,100,5.528,8.15674,4787283968,1022,50,14.12,33.8
2021-06-25 17:37:01 CET,33,27.25,100,6.266,8.16128,19449161728,1010,50,14.12,33.8
2021-07-07 15:15:31 CET,34,26.1875,100,16.989,7.24885,5.39682,647,50,15.37142856,39.34285716
2021-07-07 15:15:51 CET,35,26.1875,100,18.542,7.24431,4.29682,731,50,15.37142856,39.34285716
2021-07-07 15:16:11 CET,36,26.1875,100,22.114,7.24431,5.29486,656,50,15.37142856,39.34285716
2021-07-07 15:16:31 CET,37,26.125,100,13.044,7.33963,7.45456,653,50,15.37142856,39.34285716
